#This file was generated on Thu Mar 29 16:56:57 2018
#Using the somd command, of the molecular library Sire version <2017.2.0> 
#For more information visit: https://github.com/michellab/Sire
#
#General information on simulation parameters:
#Simulation used 20000 moves, 100 cycles and 4000 ps of simulation time 
#Generating lambda is		 0.10000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25 C
#Energy was saved every 250 steps 
#
#
#   [step]      [potential kcal/mol]       [gradient kcal/mol]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
    2500            4.75482446e+00            2.60605985e+00            9.97380917e-01            1.00259296e+00     7.990899337254759e+00     8.025224536924235e+00     8.400771414286602e+00     8.929889123344042e+00     9.573226445387103e+00     1.032865018169353e+01     1.120341000413975e+01     1.220685643285548e+01     1.334855074987213e+01     1.463779920547472e+01     1.608385956064395e+01
    2750            6.52212988e+00           -3.20290749e-01            1.00029259e+00            9.99652031e-01     1.140159295469808e+01     1.100809445663035e+01     1.113993418283532e+01     1.146853447488283e+01     1.192348366224704e+01     1.249482956860758e+01     1.318756246111414e+01     1.401028482901485e+01     1.497227742001066e+01     1.608273515436962e+01     1.735087721300230e+01
    3000            3.61506168e+00            5.28491605e+00            9.94719421e-01            1.00528920e+00     5.728468521248677e+00     6.101525294674528e+00     6.729268268476531e+00     7.513937006898026e+00     8.432211523806050e+00     9.482551181709589e+00     1.067034439719844e+01     1.200336598719865e+01     1.349022262226184e+01     1.513972562719199e+01     1.696089612298166e+01
    3250            6.41977866e+00            9.03461373e+00            9.91000821e-01            1.00907020e+00     1.009972628598571e+01     1.083534538123974e+01     1.185582903551017e+01     1.306978487368324e+01     1.445071540634810e+01     1.599343957502542e+01     1.770076756170530e+01     1.957892776787375e+01     2.163569358945870e+01     2.387944690101970e+01     2.631903244141841e+01
    3500            7.90926153e+00            4.42759708e+00            9.95567487e-01            1.00442258e+00     1.321026742797457e+01     1.334930452314853e+01     1.394050249005101e+01     1.472294132599410e+01     1.564016114015245e+01     1.668565022932771e+01     1.786544849792626e+01     1.918856471041689e+01     2.066447637907122e+01     2.230247173761536e+01     2.411183486237533e+01
    3750            3.36433148e+00            5.05828198e+00            9.94941132e-01            1.00505760e+00     5.300202335029386e+00     5.678341188927196e+00     6.269131512247312e+00     7.000542661247521e+00     7.858252735989353e+00     8.844415771752621e+00     9.966103429219070e+00     1.123188145399284e+01     1.265071063344657e+01     1.423153674965383e+01     1.598339833536067e+01
    4000            1.00021814e+01           -3.66225606e+00            1.00362803e+00            9.96303802e-01     1.793831904469186e+01     1.688174874023703e+01     1.678939325256789e+01     1.698019018380286e+01     1.731075834767624e+01     1.775393285186777e+01     1.831025963259128e+01     1.898715693919993e+01     1.979363406438453e+01     2.073889373227319e+01     2.183225236320882e+01
    4250            5.98528506e+00            1.56286273e-01            9.99823890e-01            1.00013646e+00     1.036308084832954e+01     1.010200416451687e+01     1.025536321833106e+01     1.058577947235940e+01     1.103751628739720e+01     1.160134979108856e+01     1.228101257266267e+01     1.308407299494972e+01     1.401922599741119e+01     1.509541423587581e+01     1.632177450231257e+01
    4500            3.47765059e+00            4.28961735e+00            9.95706916e-01            1.00428607e+00     5.667075248147069e+00     5.869601937269569e+00     6.419232468094618e+00     7.136677283922783e+00     7.983200552887619e+00     8.956162637276487e+00     1.006233365105023e+01     1.131077479403243e+01     1.271090623317029e+01     1.427196444434317e+01     1.600320664794011e+01
    4750            6.18567564e+00            9.18150057e+00            9.90852777e-01            1.00921589e+00     9.779244371805587e+00     1.044022473937921e+01     1.149840029919852e+01     1.275529489876792e+01     1.416714117245346e+01     1.572963571033414e+01     1.744886222735492e+01     1.933355648287209e+01     2.139297943940432e+01     2.363627226140913e+01     2.607266076494675e+01
